Feature	Gain	Cover	Frequency
ctrx_quarter	0.136455840192155	0.0450363402352441	0.0576830915348756
mpasivos_margen	0.0547089510733995	0.0391260297185583	0.0506687578965713
mcuentas_saldo	0.0414989889549947	0.0483374803326374	0.04552781771446
mrentabilidad_annual	0.0397420765802189	0.0459483420047046	0.0454406831351022
numero_de_cliente	0.0382706506118604	0.0762916383738911	0.0554175924715723
Master_fechaalta	0.0330464211179962	0.0411460690298884	0.0426088093059731
Visa_fechaalta	0.0318437683615232	0.0422273429084469	0.0394283971594127
cliente_antiguedad	0.0317457828390546	0.0620969813654551	0.0462684616390014
mcaja_ahorro	0.0302417138095989	0.0229594170147228	0.0347231298740905
Visa_Fvencimiento	0.0298746004248959	0.0363284668329408	0.0369450616477149
cliente_edad	0.02825428634081	0.0486099503175085	0.0409968195878534
mactivos_margen	0.0276713801730574	0.0366520134957454	0.0336775149217967
Master_Fvencimiento	0.0269685832761822	0.028407977180711	0.0318041214656036
mpayroll	0.0268754183004559	0.00742511773740285	0.00413889251949636
mcuenta_corriente	0.0253197564510626	0.0580998132788807	0.0351588027708796
chomebanking_trx	0.0247560651816389	0.0181709231806775	0.0269245850215658
mrentabilidad	0.0224753467153025	0.0266501054561462	0.0293643532435847
cpayroll_trx	0.0205188438209955	0.00214075794328282	0.000871345793578182
mtarjeta_visa_consumo	0.0200726140984382	0.0104098258842091	0.0135494270901407
Master_mfinanciacion_limite	0.0161601995055798	0.0155549558964598	0.0186032326928942
mtransferencias_recibidas	0.015781990905637	0.0133391019238805	0.0189953383000044
Visa_mpagospesos	0.0156632531692438	0.0131818446727568	0.0193003093277567
Visa_mfinanciacion_limite	0.0154130620840996	0.0146796447600927	0.0172962140025269
Visa_mconsumospesos	0.0153782610103285	0.0105833486250318	0.0170348102644535
mcaja_ahorro_dolares	0.0150740649383077	0.0128014344383812	0.0157713588637651
mcomisiones_otras	0.0142618079031723	0.0133327127326563	0.0149435803598658
mprestamos_personales	0.0138905313721302	0.0126924277881786	0.00548947849954254
